vehicle_id,ultimo_timestamp,ultimo_distrito,ultima_zona
99,2025-01-11 03:43:24,Staten Island,Freshkills Park
98,2025-01-31 22:04:50,Queens,Fresh Meadows
97,2025-01-31 23:56:41,Brooklyn,Fort Greene
96,2025-01-31 08:02:36,Queens,Forest Park/Highland Park
95,2025-01-31 23:27:56,Queens,Forest Hills
94,2025-01-31 17:28:54,Bronx,Fordham South
93,2025-01-31 22:53:57,Queens,Flushing Meadows-Corona Park
92,2025-01-31 22:32:47,Queens,Flushing
91,2025-01-31 22:31:47,Brooklyn,Flatlands
90,2025-01-31 23:59:37,Manhattan,Flatiron
9,2025-01-31 22:43:04,Queens,Auburndale
89,2025-01-31 23:43:06,Brooklyn,Flatbush/Ditmas Park
88,2025-01-31 23:57:46,Manhattan,Financial District South
87,2025-01-31 23:58:18,Manhattan,Financial District North
86,2025-01-31 20:53:21,Queens,Far Rockaway
85,2025-01-31 23:15:48,Brooklyn,Erasmus
84,2025-01-11 16:21:03,Staten Island,Eltingville/Annadale/Prince's Bay
83,2025-01-31 22:53:28,Queens,Elmhurst/Maspeth
82,2025-01-31 23:42:02,Queens,Elmhurst
81,2025-01-31 23:36:23,Bronx,Eastchester
80,2025-01-31 23:59:46,Brooklyn,East Williamsburg
8,2025-01-31 17:17:30,Queens,Astoria Park
79,2025-01-31 23:59:57,Manhattan,East Village
78,2025-01-31 19:52:29,Bronx,East Tremont
77,2025-01-31 22:52:41,Brooklyn,East New York/Pennsylvania Avenue
76,2025-01-31 23:56:59,Brooklyn,East New York
75,2025-01-31 23:59:31,Manhattan,East Harlem South
74,2025-01-31 23:53:36,Manhattan,East Harlem North
73,2025-01-30 23:07:31,Queens,East Flushing
72,2025-01-31 23:34:29,Brooklyn,East Flatbush/Remsen Village
71,2025-01-31 23:07:44,Brooklyn,East Flatbush/Farragut
70,2025-01-31 23:57:21,Queens,East Elmhurst
7,2025-01-31 23:59:13,Queens,Astoria
69,2025-01-31 23:31:27,Bronx,East Concourse/Concourse Village
68,2025-01-31 23:59:51,Manhattan,East Chelsea
67,2025-01-31 19:18:07,Brooklyn,Dyker Heights
66,2025-01-31 23:53:01,Brooklyn,DUMBO/Vinegar Hill
65,2025-01-31 23:59:16,Brooklyn,Downtown Brooklyn/MetroTech
64,2025-01-31 13:33:46,Queens,Douglaston
63,2025-01-31 23:55:18,Brooklyn,Cypress Hills
62,2025-01-31 23:15:46,Brooklyn,Crown Heights South
